Ragione sociale;Tipo organizzazione;Indirizzo;Comune;Telefono;Email;Referente Email
DIGITAL IDEA SRL;AZIENDA;PIAZZA DANESE, 4;BUSSOLENGO;456703929;info@digitalidea.it;
HINOWA SPA;AZIENDA;VIA FONTANA, 3;NOGARA;442539100;info@hinowa.com;
HINOWA SPA;AZIENDA;VIA FONTANA, 3;NOGARA;442539100;info@hinowa.com;
ME.CO IMPIANTI SRL;AZIENDA;VENETO;SONA;4560900085;amministrazione@mecoimpianti.com;
AUDIOVIDEOVERONA SERVICE SNC;AZIENDA;VIA PIEMONTE, 10;SONA;45575599;info@audiovideoveronaservice.it;
AUDIOVIDEOVERONA SERVICE SNC;AZIENDA;VIA PIEMONTE, 10;SONA;45575599;info@audiovideoveronaservice.it;
AUDIOVIDEOVERONA SERVICE SNC;AZIENDA;VIA PIEMONTE, 10;SONA;45575599;info@audiovideoveronaservice.it;
SMS WELDING.IT;AZIENDA;VIA VOLPARE, 34 D;NEGRAR;456000291;smswelding@gmail.com;
SOVERE SPA;AZIENDA;VIA DELLA METALLURGICA 24;VERONA;458187511;;
VICENTINI SPA;AZIENDA;VIA GARDESANE 49;VERONA;452085111;sara.modena@vicentini.it;
VICENTINI SPA;AZIENDA;VIA GARDESANE 49;VERONA;452085111;sara.modena@vicentini.it;
VICENTINI SPA;AZIENDA;VIA GARDESANE 49;VERONA;452085111;sara.modena@vicentini.it;
VICENTINI SPA;AZIENDA;VIA GARDESANE 49;VERONA;452085111;sara.modena@vicentini.it;
VICENTINI SPA;AZIENDA;VIA GARDESANE 49;VERONA;452085111;sara.modena@vicentini.it;
VICENTINI SPA;AZIENDA;VIA GARDESANE 49;VERONA;452085111;sara.modena@vicentini.it;
FERRAMENTA VENETA SRL;AZIENDA;VIA MONTE AMIATA,1;SAN GIOVANNI LUPATOTO;458266555;marco.spinelli@ferramentaveneta.com;
FERRAMENTA VENETA SRL;AZIENDA;VIA MONTE AMIATA,1;SAN GIOVANNI LUPATOTO;458266555;marco.spinelli@ferramentaveneta.com;
HONDA MOTOR EUROPE LOGISTICS NV;AZIENDA;VIA STRA',152;COLOGNOLA AI COLLI;456173329;claudia.felis@honda-eu.com;
AGSM VERONA SPA;AZIENDA;LUNGADIGE  GALTAROSSA, 8;VERONA;458677266;silviaanguzza@hotmail.com;
AGSM VERONA SPA;AZIENDA;LUNGADIGE  GALTAROSSA, 8;VERONA;458677266;silviaanguzza@hotmail.com;
AGSM VERONA SPA;AZIENDA;LUNGADIGE  GALTAROSSA, 8;VERONA;458677266;silviaanguzza@hotmail.com;
AGSM VERONA SPA;AZIENDA;LUNGADIGE  GALTAROSSA, 8;VERONA;458677266;silviaanguzza@hotmail.com;
AGSM VERONA SPA;AZIENDA;LUNGADIGE  GALTAROSSA, 8;VERONA;458677266;silviaanguzza@hotmail.com;
ZUCCHELLI FORNI SPA;AZIENDA;VIA ARTIGIANA S.PIERINO;TREVENZUOLO;456680068;elena.isolani@zucchelliforni.net;
ZUCCHELLI FORNI SPA;AZIENDA;VIA ARTIGIANA S.PIERINO;TREVENZUOLO;456680068;elena.isolani@zucchelliforni.net;
WELLTECH SYSTEMS SRL;AZIENDA;VIA DEL CAPITEL;VERONA;45977155;info@welltech.it;
EXOR INTERNATIONAL S.P.A.;AZIENDA;MONTE FIORINO, 9;SAN GIOVANNI LUPATOTO;458750404;ufficio.personale@exorint.it;
AUTOPRESTIGE SRL;AZIENDA;CORSO VENEZIA, 97;VERONA;452585743;matmiz98@gmail.com;
S.T.A.C.OL. SAS;AZIENDA;CORSO MILANO,223;VERONA;45573822;annalisa@datastudioweb.it;
OSPEDALIERA UNIVERSITARIA INTEGRATA DI VERONA;AZIENDA;P.LE  A. STEFANI,1;VERONA;458126530;gianpaolo.masini@ospedalieraverona.it;
CWS SRL;AZIENDA;VIA E.TORRICELLI, 37;VERONA;458780870;hr@cws.it;
A.T.E. SRL;AZIENDA;VIA DELL' INDUSTRIA, 2;VIGASIO;457364500;daniela.facci@@ate-srl.it;
POWER HYDRAULIK SRL;AZIENDA;CA' DELL'AGLIO, 9;SAN MARTINO BUON ALBERGO;458780721;info@powerhydraulik.com;
CONSOLINI ERMANNO;AZIENDA;VIA CONTRADA SAN ZENO, 5;S. ZENO DI MONTAGNA;3382656193;ermaconsolini@teletu.it;
VERONA LAMIERE S.P.A.;AZIENDA;VIA G. PASCOLI, 46;ZEVIO;458738311;stefano.capitanio@veronalamiere.it;
VERONA LAMIERE S.P.A.;AZIENDA;VIA G. PASCOLI, 46;ZEVIO;458738311;stefano.capitanio@veronalamiere.it;
EXIMAG ART SISTEMI SRL;AZIENDA;VIA TEVERE, 76;VERONA;45680575;info@eximag.it;
SAVINO DEL BENE SPA;AZIENDA;VIA DEL BOTTEGHINO 24/26;SCANDICCI;458626611;verona@savinodelbene.com;
NEOTECNICA S.R.L.;AZIENDA;VIA DIAZ, 4- CENTRO DIREZ. DIAMANTE 2;SANT'AMBROGIO DI VALPOLICELLA;456862581;;
ROSSETTO TRADE SPA;AZIENDA;VIA FRIULI, 5;SONA;456861622;panificio@rossettogroup.it;
ROSSETTO TRADE SPA;AZIENDA;VIA FRIULI, 5;SONA;456861622;panificio@rossettogroup.it;
ROSSETTO TRADE SPA;AZIENDA;VIA FRIULI, 5;SONA;456861622;panificio@rossettogroup.it;
ASSALI STEFEN SRL;AZIENDA;VIA COPERNICO, 1;ZEVIO;458731600;segreteria.direzione@assalistefen.com;
FORNO BONOMI S.P.A.;AZIENDA;CONTRADA VAZZI, 7;ROVERE' VERONESE;045/6509300;sonia.bonomi@fornobonomi.com;
AGRICOLA ITALIANA ALIMENTARE  SPA;AZIENDA;PIAZZALE APOLLINARE VERONESI, 1;VERONA;458097511;;
AGRICOLA ITALIANA ALIMENTARE  SPA;AZIENDA;PIAZZALE APOLLINARE VERONESI, 1;VERONA;458097511;;
AGRICOLA ITALIANA ALIMENTARE  SPA;AZIENDA;PIAZZALE APOLLINARE VERONESI, 1;VERONA;458097511;;
AGRICOLA ITALIANA ALIMENTARE  SPA;AZIENDA;PIAZZALE APOLLINARE VERONESI, 1;VERONA;458097511;;
AGRICOLA ITALIANA ALIMENTARE  SPA;AZIENDA;PIAZZALE APOLLINARE VERONESI, 1;VERONA;458097511;;
TERMINALI ITALIA S.R.L. FF.SS;AZIENDA;PIAZZA DELLA CROCE ROSSA,1;ROMA;458624422;e.bonuzzi@terminaliitalia.it;
TERMINALI ITALIA S.R.L. FF.SS;AZIENDA;PIAZZA DELLA CROCE ROSSA,1;ROMA;458624422;e.bonuzzi@terminaliitalia.it;
ALTURAS SISTEMI S.R.L.;AZIENDA;VIA VENEZIA, 1;VILLAFRANCA DI VERONA;456305279;amministrazione@alturas.it;
ALTURAS SISTEMI S.R.L.;AZIENDA;VIA VENEZIA, 1;VILLAFRANCA DI VERONA;456305279;amministrazione@alturas.it;
SCHENKER ITALIANA SPA;AZIENDA;VIA FRATELLI BANDIERA 29;PESCHIERA BORROMEO;45828277; ;
SCHENKER ITALIANA SPA;AZIENDA;VIA FRATELLI BANDIERA 29;PESCHIERA BORROMEO;45828277; ;
SCHENKER ITALIANA SPA;AZIENDA;VIA FRATELLI BANDIERA 29;PESCHIERA BORROMEO;45828277; ;
DOLPHIN PACK SRL;AZIENDA;VIA VOLTA, 13;VERONA;456200814;centralino@dolphinpack.net;
MAXTECH;AZIENDA;VIA PALAZZINA, 174;VERONA;45507655;info@maxtech.it;
ARTE PASTAIA SRL;AZIENDA;VIA DEL LAVORO, 20;SAN MARTINO BUON ALBERGO;458781879;info@artepastaia.it;
RBR VERONA SRL;AZIENDA;VIA ANNA DA SCHIO, 2;VERONA;458403665;rbrverona@rbrverona.it;
RBR VERONA SRL;AZIENDA;VIA ANNA DA SCHIO, 2;VERONA;458403665;rbrverona@rbrverona.it;
RBR VERONA SRL;AZIENDA;VIA ANNA DA SCHIO, 2;VERONA;458403665;rbrverona@rbrverona.it;
JUMP VERONA SRL;AZIENDA;VIA MARCONI 74;VERONA;458944534;riparazioni@jumpverona.it;
JUMP VERONA SRL;AZIENDA;VIA MARCONI 74;VERONA;458944534;riparazioni@jumpverona.it;
AULSS 9  SCALIGERA VERONA;ENTE PUBBLICO;VIA DELLA VALVERDE, 42;VERONA;458075511;direttore.formazione@aulss9.veneto.it;
AULSS 9  SCALIGERA VERONA;ENTE PUBBLICO;VIA DELLA VALVERDE, 42;VERONA;458075511;direttore.formazione@aulss9.veneto.it;
AULSS 9  SCALIGERA VERONA;ENTE PUBBLICO;VIA DELLA VALVERDE, 42;VERONA;458075511;direttore.formazione@aulss9.veneto.it;
AULSS 9  SCALIGERA VERONA;ENTE PUBBLICO;VIA DELLA VALVERDE, 42;VERONA;458075511;direttore.formazione@aulss9.veneto.it;
AULSS 9  SCALIGERA VERONA;ENTE PUBBLICO;VIA DELLA VALVERDE, 42;VERONA;458075511;direttore.formazione@aulss9.veneto.it;
TELEFIN SPA;AZIENDA;VIA ALBERE, 87/A;VERONA;458100404;info@telefin.it;
TELEFIN SPA;AZIENDA;VIA ALBERE, 87/A;VERONA;458100404;info@telefin.it;
TELEFIN SPA;AZIENDA;VIA ALBERE, 87/A;VERONA;458100404;info@telefin.it;
TELEFIN SPA;AZIENDA;VIA ALBERE, 87/A;VERONA;458100404;info@telefin.it;
S.C.S. SURVEY CAD SYSTEM SRL;AZIENDA;VIALE DELLA TECNICA;POVEGLIANO VERONESE;457971883;amministrazione@pfcad.it;
TORNERIA TOSI SRL;AZIENDA;VIA TOSCANINI 15;CASTEL D'AZZANO;458520486;info@torneriatosi.it;
D.E.C.A. SISTEM SRL;AZIENDA;CARMELO PREITE,33;GARDA;456270017;deca@dallora.it;
D.E.C.A. SISTEM SRL;AZIENDA;CARMELO PREITE,33;GARDA;456270017;deca@dallora.it;
QUAIATO RENZO;AZIENDA;VIA BOSCO 18;CASTEL D'AZZANO;45512364;amministrazione@floricolturaquaiato.com;
FERRAMENTA PERINELLI;AZIENDA;VIA MARZAN 4;PESCHIERA DEL GARDA;457551749;info@perinelliforniture.it;
STAMPERIA DI ALOISI & GALVANI SRL;AZIENDA;STRADA DEL TIONE 27;LAZISE;456470100;info@stamperia.net;
FVS SPA;AZIENDA;VIA QUARTIERI;MOZZECANE;457900247;tecnico1@fvsspa.com;
ANT SRL;AZIENDA;VIA DELLA CONCORDIA 4;SAN MARTINO BUON ALBERGO;045 878 1380;amministrazione@antsrl.eu;
TECNOLUCE DI ALTIERI RICCARDO E C. SNC;AZIENDA;VIA F. FAVRETTO 14;VERONA;458100254;tecnoluce@tecnolucevr.it;
CITTA' DEL SOLE S.R.L.;AZIENDA;;PORTOGRUARO;0421 394738 - 3336844457;;
CITTA' DEL SOLE S.R.L.;AZIENDA;;PORTOGRUARO;0421 394738 - 3336844457;;
HI-FI SERVICE;AZIENDA;VIA GOLOSINE 202/A;VERONA;458200774;hifiserv@tin.it;
CONSORZIO AGRARIO DEL NORD EST;AZIENDA;VIA CADERMANETTO 2;TREVENZUOLO;3477821874;roberto.soave@agrinordest.it;
SERGIO GIOLITTO;AZIENDA;PIAZZA DEL DONATORE 12;PASTRENGO;3464968333;sergio@giolitto.it;
LB DI SONA CRISTINA;AZIENDA;VIA MADONNINA 50;S.GIOVANNI LUPATOTO;458753212;alessandra.ale.manzini@gmail.com;alessandra.ale.manzini@gmail.com
ANDREA GNESATO;AZIENDA;PIZZA SAN VALENTINO 5;VERONA;3478197328;andrea@zeta.uno;
MONDO PC SNC;AZIENDA;VIA C. ANGIOLIERI, 4;CASTEL D'AZZANO;45518086;mail@mondo-pc.it;
MONDO PC SNC;AZIENDA;VIA C. ANGIOLIERI, 4;CASTEL D'AZZANO;45518086;mail@mondo-pc.it;
ARDUINI & NERBOLDI;AZIENDA;VIA DELLA MECCANICA 32;VERONA;458515411;nicoletta.braga@eurodiesel.it;
ARDUINI & NERBOLDI;AZIENDA;VIA DELLA MECCANICA 32;VERONA;458515411;nicoletta.braga@eurodiesel.it;
ARDUINI & NERBOLDI;AZIENDA;VIA DELLA MECCANICA 32;VERONA;458515411;nicoletta.braga@eurodiesel.it;
ENERGIA-WEB;AZIENDA;VIA POZZE 3;PESCANTINA;457150116;amministrazione@bluedigital.it;mattia@webmc2.it
IDIOMA SERVIZI LINGUISTICI;AZIENDA;VIA MADONNINA 2;S.GIOVANNI LUPATOTO;456934956;idiomaservizilinguistici@gmail.com;
AUTOTRASPORTI VARONE DOMENICO;AZIENDA;VIA ISOLA DELLA SCALA;BUTTAPIETRA;456660471;silvia@treviensrl.com;
SEGESTA GESTIONI S.R.L;AZIENDA;VIALE CASSALA, 16;MILANO;;;
ABERFOND SRL;AZIENDA;VIA PACINOTTI 34;VERONA;45500508;rita@aberfond.com;rita@aberfond.com
TIRAPELLE TRASPORTI SRL;AZIENDA;VIA BELLONA, 2;SONA;459698397;domenici@tirapelle.it;
COMITEL SRL;AZIENDA;VIA LUSSEMBURGO 13;VERONA;45500577;ufficio.tecnico@comitel.com;
UNDERSCORE SOAVE COMPUTER DI DEMIS NAPOLI;AZIENDA;VIALE DELLA VITTORIA,15/A;SOAVE;456190136;info@underscore.computer;
CENTRO RICAMBI VERONA SRL;AZIENDA;VIA DEL COMMERCIO, 56;VERONA;458203366;info@centroricambiverona.it;
YUOR TRAINERS GROUP;AZIENDA;VIA LARGO CALDERA, 11;VERONA;3403265054;stefanovecchi@ytgmail.com;
MAKRO LABELLING SRL;AZIENDA;VIA S.GIOVANNA D'ARCO, 9;GOITO;3761872203;simone.marcantoni@makrolabelling.it;
ARALDO SRL;AZIENDA;VIA CARCERERI, 22/A;BOSCO CHIESANUOVA;457080485;amministrazione@araldoartedelgusto.it;
BERNER SPA;AZIENDA;VIA DELL'ELETTRONICA, 15;VERONA;458670196;andrea.castellani@berner.it;
PROFESSIONE ORTOPEDIA SRL;AZIENDA;VIA FERMI, 17/C;VERONA;458781298;info@professioneortopedia.it;
ALL SERVICES  SRL;AZIENDA;VIA DEL COMMERCIO, 10;VERONA;45504126;olent@all-services.it;
GAZZANI NEREO;AZIENDA;VIA GARIBALDI, 20;CASTEL D'AZZANO;045 519989;nereogazzani@alice.it;
CANEVAWORLD RESORT SRL;AZIENDA;VIA FOSSALTA, 58;LAZISE;456969900;germana.amicabile@canevaworld.it;
CANEVAWORLD RESORT SRL;AZIENDA;VIA FOSSALTA, 58;LAZISE;456969900;germana.amicabile@canevaworld.it;
CANEVAWORLD RESORT SRL;AZIENDA;VIA FOSSALTA, 58;LAZISE;456969900;germana.amicabile@canevaworld.it;
ARCA PROGETTI SRL;AZIENDA;VIA SEGAI 8;GREZZANA-STALLAVENA;3496494709;giuseppe.nicotra@istruzioneverona.it;
SMILENET SRL;AZIENDA;VIA MONTE BALDO 4;VILLAFRANCA DI VERONA;458600511;silvia@smilenet.it;
TREEMME DI MARCHIORI L. & C.;AZIENDA;VIA PONZILOVO 16/B;RONCO ALL'ADIGE;456624140;treemmevr@gmail.com;
FARMACIA ALL'ALABRO 28;AZIENDA;PIAZZALE BUCCARI 3;VERONA;45557037;farmacia.allalbaro@gmail.com;
FARMACIA ALL'ALABRO 28;AZIENDA;PIAZZALE BUCCARI 3;VERONA;45557037;farmacia.allalbaro@gmail.com;
ABATEL SNC;AZIENDA;VIA ARNO 2;VERONA;45862071;stevanoloris@abatel.it;
AVESANI DARIO IMPIANTI ELETTRICI;AZIENDA;VIA VERONA, 32;CASELLE DI SOMMACAMPAGNA;458580031;avesani.dario@tiscali.it;
MAGI SRL;AZIENDA;PIAZZETTA PORTICI, 12;TORRI DEL BENACO;457225510;info@magistudio.it;
PARMALAT S.P.A.;AZIENDA;VIA DELLE NAZIONI UNITE, 4;COLLECCHIO;5218081;m.contorni@parmalat.net;
PARMALAT S.P.A.;AZIENDA;VIA DELLE NAZIONI UNITE, 4;COLLECCHIO;5218081;m.contorni@parmalat.net;
PARMALAT S.P.A.;AZIENDA;VIA DELLE NAZIONI UNITE, 4;COLLECCHIO;5218081;m.contorni@parmalat.net;
PARMALAT S.P.A.;AZIENDA;VIA DELLE NAZIONI UNITE, 4;COLLECCHIO;5218081;m.contorni@parmalat.net;
PICCOLI SERGIO & C. SRL;AZIENDA;BINELUNGHE, 15 - LOC. BASSONE;VERONA; 045 8510988;mary@piccolisergio.it;
ISTITUTO NAZIONALE PREVIDENZA SOCIALE;ENTE PUBBLICO;VIA CIRO IL GRANDE 21;ROMA;28562254;annamaria.tangari@inps.it;
ISTITUTO NAZIONALE PREVIDENZA SOCIALE;ENTE PUBBLICO;VIA CIRO IL GRANDE 21;ROMA;28562254;annamaria.tangari@inps.it;
ISTITUTO NAZIONALE PREVIDENZA SOCIALE;ENTE PUBBLICO;VIA CIRO IL GRANDE 21;ROMA;28562254;annamaria.tangari@inps.it;
RIELLO SPA;AZIENDA;VIA ING.PILADE RIELLO,7;LEGNAGO;442630111;alessia.cazzolato@riello.it;
ITI MARCONI VERONA;AZIENDA;PIAZZALE GUARDINI, 1;VERONA;458101428;sede@marconivr.it;dsga@marconivr.it
ITI MARCONI VERONA;AZIENDA;PIAZZALE GUARDINI, 1;VERONA;458101428;sede@marconivr.it;dsga@marconivr.it
ITI MARCONI VERONA;AZIENDA;PIAZZALE GUARDINI, 1;VERONA;458101428;sede@marconivr.it;dsga@marconivr.it
ARBETTI MOTORS S.R.L.;AZIENDA;STRADA DELLA GIARA, 7;VERONA;45522200;info@arbettimotors.it;
CASAGRANDE ELETTROCOSTRUZIONI S.P.A.;AZIENDA;VIA G. ROSSINI, 24;CASTEL D'AZZANO;458546511;info@casagrande.vr.it;
ICI CALDAIE S.P.A.;AZIENDA;VIA G.PASCOLI,38;ZEVIO;458738511;info@icicaldaie.com;
ICI CALDAIE S.P.A.;AZIENDA;VIA G.PASCOLI,38;ZEVIO;458738511;info@icicaldaie.com;
ACRAM S.R.L.;AZIENDA;LOC. PIGNA, 13;SANT'AMBROGIO DI VALPOLICELLA;456835411;info@acram.it;
AGRICOLA RIPARAZIONE S.N.C.;AZIENDA;VIA CA DE MICHELI 62/A;SANGUINETTO;442365290;info@agricolariparazione.it;
RETTONDINI INGRANAGGI S.N.C.;AZIENDA;VIA DELLA COOPERAZIONE, 17;BOVOLONE;045 6900097;rettondiniingranaggi@libero.it;
TELEPOINT SNC;AZIENDA;LOCALITA' IN AFFI, 32;AFFI;456260513;info@telepointservice.com;
TELEPOINT SNC;AZIENDA;LOCALITA' IN AFFI, 32;AFFI;456260513;info@telepointservice.com;
IRMIE IMPIANTI S.R.L;AZIENDA;VIA DELL' INDUSTRIA, 17;SONA;456090355;info@irmieimpianti.com;
CORRADI CARLO CARPENTERIA METALLICA;AZIENDA;VIA GIUSEPPE SILVESTRI 2;VERONA;458802115;carpenteriametallicacorr@tin.it;
BORASO STEFANO IMPIANTI ELETTRICI;AZIENDA;VIA CAMPAGNA 17;ISOLA DELLA SCALA;3358163926;boraso.stefano@virgilio.it;
AUTOTEAM SPA;AZIENDA;VIA MANTOVA 16/A;LEGNAGO;44224800;graziano.ghirotti@autoteam.it;
UCICAR S.N.C. DI RINCO A. & C.;AZIENDA;VIA VITTORIO VENETO;POVEGLIANO VERONESE;456350091;contabilita@ucicar.it;
CERPELLONI GIOVANNI (DITTA INDIVIDUALE);AZIENDA;VIA VILLA COZZA, 33;VERONA;045 532612;segreteria@cerpelloni.com;
AUTOFFICINA DE TOGNI SRL;AZIENDA;VIA G.CARDUCCI 52;ZEVIO;45545922;amministrazione@detogniauto.it;
FIMAUTO SPA;AZIENDA;VIA DEL LAVORO,19;BUSSOLENGO;456767787;raffaella.zilio@fimauto.conc-bmw.com;
FIMAUTO SPA;AZIENDA;VIA DEL LAVORO,19;BUSSOLENGO;456767787;raffaella.zilio@fimauto.conc-bmw.com;
ELETTROSOUND S.R.L.;AZIENDA;VIA MADONNA 239;PESCANTINA;457157690;diego@elettrosoundverona.it;
PNEUSNAUTICA DI A.PEROBELLI & C. SAS;AZIENDA;VIA LUSSEMBURGO, 6;VERONA;045 585846;info@pneusnautica.com;
COMUNE DI BUSSOLENGO;ENTE PUBBLICO;PIAZZA XXVI APRILE, 21;BUSSOLENGO;456769908;scuola@comune.bussolengo.vr.it;marconi@comune.bussolengo.vr.it
COMUNE DI BUSSOLENGO;ENTE PUBBLICO;PIAZZA XXVI APRILE, 21;BUSSOLENGO;456769908;scuola@comune.bussolengo.vr.it;marconi@comune.bussolengo.vr.it
COMUNE DI BUSSOLENGO;ENTE PUBBLICO;PIAZZA XXVI APRILE, 21;BUSSOLENGO;456769908;scuola@comune.bussolengo.vr.it;marconi@comune.bussolengo.vr.it
NOVA DITEX SRL;AZIENDA;LOCALITA'MANDELLA,38;PESCHIERA DEL GARDA;456401191;info@ditex.it;
NICOLIS PROJECT S.R.L.;AZIENDA;VIA CASCINA VERDE, 2;VILLAFRANCA DI VERONA;456334030;amministrazione@nicolis.com;
NICOLIS PROJECT S.R.L.;AZIENDA;VIA CASCINA VERDE, 2;VILLAFRANCA DI VERONA;456334030;amministrazione@nicolis.com;
NICOLIS PROJECT S.R.L.;AZIENDA;VIA CASCINA VERDE, 2;VILLAFRANCA DI VERONA;456334030;amministrazione@nicolis.com;
CLUBTI-TRIVENETO;ASSOCIAZIONE;VIA E.P. MASINI, 2;PADOVA;;;
LICCI LOGISTICA S.R.L;AZIENDA;VIA LEONARDO DA VINCI, 8/B;ZEVIO;457850232;matteo@licci.it;
INTERBETA S.R.L.;AZIENDA;VIA V. BELLINI, 1;CASTEL D'AZZANO;45519679;rosanna.interbeta@ibt-group.it;
TEKNOPLANET SOC. COOP.;COOPERATIVA;VIA ROVEGGIA, 26/A;VERONA;456932056;teknoplanetvr@gmail.com;
FLOVER SRL;AZIENDA;VIA PASTRENGO 14;BUSSOLENGO;458241904;ammrisorse@flover.it;
FLOVER SRL;AZIENDA;VIA PASTRENGO 14;BUSSOLENGO;458241904;ammrisorse@flover.it;
FRIGOSCANDIA SPA A SOCIO UNICO;AZIENDA;VIA MONZORO, 140;CORNAREDO;2931901;daniela.gorla@frigoscandiaspa.it;
MULTISERVICE GB S.R.L;AZIENDA;VIA MERZARI, 1;SAN GIOVANNI LUPATOTO;458620421;info@multiservicegb.it;
PIVA LUCA;AZIENDA;VIA CADALORA, 69;OPPEANO;3357593887;tecnopiva@libero.it;
SPORTLER;AZIENDA;VIALE DEL COMMERCIO,1;S.MARTINO B/A;458780985;sergio.l@sportler.com;
SPORTLER;AZIENDA;VIALE DEL COMMERCIO,1;S.MARTINO B/A;458780985;sergio.l@sportler.com;
VECOMP SOFTWARE S.R.L.;AZIENDA;VIA MONTE BALDO 6;VILLAFRANCA DI VERONA;458600171;segreteriagenerale@vecompsoftware.it;
VECOMP SOFTWARE S.R.L.;AZIENDA;VIA MONTE BALDO 6;VILLAFRANCA DI VERONA;458600171;segreteriagenerale@vecompsoftware.it;
VECOMP SOFTWARE S.R.L.;AZIENDA;VIA MONTE BALDO 6;VILLAFRANCA DI VERONA;458600171;segreteriagenerale@vecompsoftware.it;
VECOMP SOFTWARE S.R.L.;AZIENDA;VIA MONTE BALDO 6;VILLAFRANCA DI VERONA;458600171;segreteriagenerale@vecompsoftware.it;
CENTRO AUTO E FUORISTRADA S.R.L.;AZIENDA;VIALE DEL LAVORO, 34;VERONA;45582444;o.elena@autobertucco.it;
CENTRO AUTO E FUORISTRADA S.R.L.;AZIENDA;VIALE DEL LAVORO, 34;VERONA;45582444;o.elena@autobertucco.it;
CENTRO AUTO E FUORISTRADA S.R.L.;AZIENDA;VIALE DEL LAVORO, 34;VERONA;45582444;o.elena@autobertucco.it;
E.B.I. GROUP SPA;AZIENDA;VIA DELLA TECNICA, 24;SOMMACAMPAGNA;458971200;info@ebigroup.it;
TAEDA COMMUNICATION S.R.L.S.;AZIENDA;VIA SALVO D'ACQUISTO 21;SAN GIOVANNI LUPATOTO;3921799882;linda@taedacommunication.it;
PASTIFICIO RANA S.P.A.;AZIENDA;VIA PACINOTTI 25;SAN GIOVANNI LUPATOTO;458587311;mbugna@rana.it;
PASTIFICIO RANA S.P.A.;AZIENDA;VIA PACINOTTI 25;SAN GIOVANNI LUPATOTO;458587311;mbugna@rana.it;
PASTIFICIO RANA S.P.A.;AZIENDA;VIA PACINOTTI 25;SAN GIOVANNI LUPATOTO;458587311;mbugna@rana.it;
PASTIFICIO RANA S.P.A.;AZIENDA;VIA PACINOTTI 25;SAN GIOVANNI LUPATOTO;458587311;mbugna@rana.it;
ITALFRIGO;AZIENDA;VIA 1° MAGGIO 6;CAVAION VERONESE;456260879;daniela@italfrigo.it;
ITALFRIGO;AZIENDA;VIA 1° MAGGIO 6;CAVAION VERONESE;456260879;daniela@italfrigo.it;
BENCAR AUTO;AZIENDA;VIA ANTONIO DA LEGNAGO;VERONA;458868121;bencarauto@libero.it;
BENCAR AUTO;AZIENDA;VIA ANTONIO DA LEGNAGO;VERONA;458868121;bencarauto@libero.it;
ENERGYZ S.R.L.;AZIENDA;VIA MALASPINA, 6;VERONA;3482638772;info@energyz.it;
MARTE S.R.L;AZIENDA;VIA DELLE FONTANELLE, 83/D;SAN BONIFACIO;458538024;support@marte.it;
PC REWORK;AZIENDA;VIA CENTRO, 2/D;VERONA;452478610;info@pcrework.it;
COMUNE DI CALDIERO;ENTE PUBBLICO;PIAZZA MARCOLUNGO 19;CALDIERO;457650023;segreteria@comune.caldiero.vr.it;
TERRATRANS ITALIA S.R.L.;AZIENDA;VIA SOMMACAMPAGNA, 61;VERONA;458648100;roberta.vinco@terratrans.it;
MIDAC S.P.A;AZIENDA;VIA A. VOLTA, 2;SOAVE;045/6132132;midac@midacbatteries.com;
CORSINI COMMERCIO CANCELLERIA SRL;AZIENDA;VIA N. COPERNICO, 12;VERONA;458204050;info@corsinioffice.it;
DOC SERVIZI SOC. COOP.;AZIENDA;VIA PIRANDELLO 31;VERONA;458230796;arianna.fuser@docservizi.it;
AUTOFFICINA MARCAZZAN FLAVIO;AZIENDA;VIA ALPONE 8;SAN GIOVANNI ILARIONE;456550705;flavio.marcazzan68@gmail.com;
ADAMI AUTOTRASPORTI S.P.A.;AZIENDA;VIA VALPOLICELLA 74;ARBIZZANO;458515111;info@adamitrasporti.com;
ADAMI AUTOTRASPORTI S.P.A.;AZIENDA;VIA VALPOLICELLA 74;ARBIZZANO;458515111;info@adamitrasporti.com;
ADAMI AUTOTRASPORTI S.P.A.;AZIENDA;VIA VALPOLICELLA 74;ARBIZZANO;458515111;info@adamitrasporti.com;
ADAMI AUTOTRASPORTI S.P.A.;AZIENDA;VIA VALPOLICELLA 74;ARBIZZANO;458515111;info@adamitrasporti.com;
ALDEBRA S.P.A.;AZIENDA;VIA FERMI 13/C;VERONA;;michele.rubino@aldebra.com;
ALDEBRA S.P.A.;AZIENDA;VIA FERMI 13/C;VERONA;;michele.rubino@aldebra.com;
SISTEMI INTEGRATI PER LO SPORT S.S.D.R.L.;AZIENDA;BENIGNO DI TULLIO 13;ROMA;;g.esposito@sistemiperlosport.com;
BERTI MACCHINE AGRICOLE SPA;AZIENDA;VIA MUSI, 1/A-3;ALTAVILLA VICENTINA;456139711;bertia@bertima.it;
HAWAI ITALIA S.R.L.;AZIENDA;VIA FORTE GAROFOLO, 16;SAN GIOVANNI LUPATOTO;045 8266400;s.danzi@hawai.it;
FRATELLI LEARDINI S.N.C.;AZIENDA;VIA AGOSTINO GOIRAN, 27;CAPRINO VERONESE;456230742;info@leardinielettroimpianti.it;
ARDA S.P.A.;AZIENDA;STRADA DEI FRATI, 7;PESCHIERA DEL GARDA;457550333;f.bonini@arda.it;
CGIL CAMERA DEL LAVORO TERRITORIALE DI VERONA;AZIENDA;VIA SETTEMBRINI, 6;VERONA;458674624;segreteria@cgilverona.it;
